id,desc,manufacturer,calories,carbs,fat,protein
20629,"Wheat flour, white (industrial), 10% protein, bleached, unenriched",,366,76.22,1.48,9.71
20630,"Wheat flour, white (industrial), 10% protein, unbleached, enriched",,366,76.22,1.48,9.71
20634,"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",,363,73.81,1.45,11.5
20635,"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",,363,73.81,1.45,11.5
20636,"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",,363,73.81,1.45,11.5
20640,"Wheat flour, white (industrial), 13% protein, bleached, enriched",,362,72.2,1.38,13.07
20641,"Wheat flour, white (industrial), 13% protein, bleached, unenriched",,362,72.2,1.38,13.07
20645,"Wheat flour, white (industrial), 15% protein, bleached, enriched",,362,69.88,1.41,15.33
20646,"Wheat flour, white (industrial), 15% protein, bleached, unenriched",,362,69.88,1.41,15.33
20647,Millet flour,,382,75.12,4.25,10.75
20648,"Sorghum flour, whole-grain",,359,76.64,3.34,8.43
20649,"Wheat flour, whole-grain, soft wheat",,332,74.48,1.95,9.61
20650,"Sorghum flour, refined, unenriched",,357,76.85,1.24,9.53
20651,"Rice, brown, parboiled, cooked, UNCLE BENS",Mars Food US,147,31.33,0.85,3.09
20652,"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program)",,156,30.87,1.48,5.67
20653,"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",,361,73.3,2.55,13.2
20654,"gluten-free, brown rice flour, cooked, TINKYADA",Tinkyada,138,32.2,1.67,3.46
20655,"gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",Ancient Harvest,152,31.11,2.07,3.23
20656,"gluten-free, rice flour and rice bran extract, cooked, DE BOLES",De Boles,200,40.75,1.7,4.21
20657,"gluten-free, corn and rice flour, cooked",Barilla,179,38.05,1.0,3.2
21003,"Fast foods, biscuit, with egg and bacon",,305,19.06,20.73,11.33
21004,"Fast foods, biscuit, with egg and ham",,233,16.37,14.08,10.64
21005,"Fast Foods, biscuit, with egg and sausage",,312,21.05,20.77,11.13
21007,"Egg, Cheese and Bacon Biscuit Sandwich",,301,24.44,17.48,12.01
21008,"Fast foods, biscuit, with ham",,342,38.75,16.3,11.85
21009,"Fast foods, biscuit, with sausage",,371,29.99,24.42,9.67
21010,"Fast foods, biscuit, with crispy chicken fillet",,300,30.56,14.93,11.93
21012,"Egg, Cheese and Bacon Croissant Sandwich",,289,22.5,16.4,12.92
21013,"Egg, Cheese and Ham Croissant Sandwich",,261,18.98,14.95,12.45
21014,"Egg, Cheese and Sausage Croissant Sandwich",,308,15.9,21.78,12.09
21018,"Fast foods, egg, scrambled",,212,2.08,16.18,13.84
21020,Cheese and Sausage English Muffin Sandwich,,338,25.28,20.67,13.28
21021,"Egg, Cheese and Canadian Bacon English Muffin Sandwich Fast foods",,228,21.67,9.66,13.64
21022,"Egg, Cheese and Sausage English Muffin Sandwich Fast foods",,286,17.44,18.1,13.38
21024,"Fast foods, french toast sticks",,340,41.21,17.74,6.0
21026,"Fast foods, potatoes, hash browns, round pieces or patty",,272,28.88,17.04,2.58
21028,"Fast foods, vanilla, light, soft-serve ice cream, with cone",,163,26.36,4.86,4.24
21032,"Fast foods, sundae, caramel",,196,31.81,5.98,4.71
21033,"Fast foods, sundae, hot fudge",,180,30.17,5.46,3.57
21034,"Fast foods, sundae, strawberry",,175,29.18,5.13,4.09
21059,"Fast foods, shrimp, breaded and fried",,308,27.99,18.9,7.84
21060,"Fast foods, burrito, with beans",,206,32.92,6.22,6.48
21061,Bean and Cheese Burrito,,205,31.23,6.05,7.35
21063,"Fast foods, burrito, with beans and beef",,191,19.52,7.47,11.52
21064,"Beef, Bean and Cheese Burrito Fast foods",,180,23.37,6.8,7.03
21078,Nachos with Cheese,,343,34.91,21.5,4.32
21080,"Nachos with Cheese, Beans, Beef, and Tomatoes",,219,21.39,12.48,6.21
21082,"Taco with beef, cheese and lettuce (hard shell)",,226,19.85,12.7,8.86
21089,"Cheeseburger; single, regular patty; plain",,308,28.03,14.72,16.51
21090,"Cheeseburger; single, regular patty, with condiments",,270,25.46,12.9,13.49
21091,"Cheeseburger; single, regular patty, with condiments and vegetables",,254,24.97,11.5,13.06
21094,"Cheeseburger, double, regular patty and bun, with condiments",,282,17.97,16.18,16.24
21096,"Cheeseburger; single, large patty; plain",,310,24.07,15.97,17.29
21102,"Fast foods, chicken fillet sandwich, plain with pickles",,250,20.89,11.19,16.28
21105,"Fast foods, fish sandwich, with tartar sauce",,257,26.69,12.45,10.29
21106,"Fish Sandwich, with tartar sauce and cheese",,279,26.39,14.64,11.26
21107,"Fast foods, hamburger; single, regular patty; plain",,297,31.5,12.01,16.52
21108,"Fast foods, hamburger; single, regular patty; with condiments",,263,29.57,10.18,13.3
21121,"Fast foods, roast beef sandwich, plain",,244,22.21,10.3,15.17
21124,"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",,213,20.43,10.04,10.52
21125,"Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",,156,20.34,2.73,12.17
21126,"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",,218,15.95,12.04,12.33
21127,"Fast foods, coleslaw",,153,14.89,9.91,0.95
21129,"Fast foods, hush puppies",,296,40.21,13.25,6.16
